"Tipo","Referencia","Modelo","Nombre","Detalle","Se_usa_en","URL_pieza_1","URL_pieza_2"
"Cabeza","LO-01-C1-E1","Precisa","Plateado · Azul claro","Caja + esfera montadas","Precisa","https://es.aliexpress.com/item/1005008684803503.html","https://es.aliexpress.com/item/1005008683926798.html"
"Cabeza","LO-01-C1-E2","Precisa","Plateado · Azul oscuro","Caja + esfera montadas","Precisa","https://es.aliexpress.com/item/1005008684803503.html","https://es.aliexpress.com/item/1005008683926798.html"
"Cabeza","LO-01-C1-E3","Precisa","Plateado · Blanca","Caja + esfera montadas","Precisa","https://es.aliexpress.com/item/1005008684803503.html","https://es.aliexpress.com/item/1005008683926798.html"
"Cabeza","LO-01-C1-E4","Precisa","Plateado · Negra","Caja + esfera montadas","Precisa","https://es.aliexpress.com/item/1005008684803503.html","https://es.aliexpress.com/item/1005008683926798.html"
"Cabeza","LO-01-C1-E1","Precisa","Plateado · Azul claro","Caja + esfera montadas","Precisa","https://es.aliexpress.com/item/1005008684803503.html","https://es.aliexpress.com/item/1005008683926798.html"
"Cabeza","LO-01-C1-E2","Precisa","Plateado · Azul oscuro","Caja + esfera montadas","Precisa","https://es.aliexpress.com/item/1005008684803503.html","https://es.aliexpress.com/item/1005008683926798.html"
"Cabeza","LO-01-C1-E3","Precisa","Plateado · Blanca","Caja + esfera montadas","Precisa","https://es.aliexpress.com/item/1005008684803503.html","https://es.aliexpress.com/item/1005008683926798.html"
"Cabeza","LO-01-C1-E4","Precisa","Plateado · Negra","Caja + esfera montadas","Precisa","https://es.aliexpress.com/item/1005008684803503.html","https://es.aliexpress.com/item/1005008683926798.html"
"Cabeza","LO-02-C1-E1","Trinchera","Plata solida 36 · Murph N/A","Caja + esfera montadas","Trinchera","https://es.aliexpress.com/item/1005008932757286.html","https://es.aliexpress.com/item/1005012681807350.html"
"Cabeza","LO-02-C1-E2","Trinchera","Plata solida 36 · Murph N/B","Caja + esfera montadas","Trinchera","https://es.aliexpress.com/item/1005008932757286.html","https://es.aliexpress.com/item/1005012681807350.html"
"Cabeza","LO-02-C1-E3","Trinchera","Plata solida 36 · Murph A/P","Caja + esfera montadas","Trinchera","https://es.aliexpress.com/item/1005008932757286.html","https://es.aliexpress.com/item/1005012681807350.html"
"Cabeza","LO-02-C1-E4","Trinchera","Plata solida 36 · Khaki Seg Rojo","Caja + esfera montadas","Trinchera","https://es.aliexpress.com/item/1005008932757286.html","https://es.aliexpress.com/item/1005005292610859.html"
"Cabeza","LO-02-C1-E5","Trinchera","Plata solida 36 · Khaki Seg Plata","Caja + esfera montadas","Trinchera","https://es.aliexpress.com/item/1005008932757286.html","https://es.aliexpress.com/item/1005005292610859.html"
"Cabeza","LO-02-C2-E1","Trinchera","Bronce solida 36 · Murph N/A","Caja + esfera montadas","Trinchera","https://es.aliexpress.com/item/1005008932757286.html","https://es.aliexpress.com/item/1005012681807350.html"
"Cabeza","LO-02-C2-E2","Trinchera","Bronce solida 36 · Murph N/B","Caja + esfera montadas","Trinchera","https://es.aliexpress.com/item/1005008932757286.html","https://es.aliexpress.com/item/1005012681807350.html"
"Cabeza","LO-02-C2-E3","Trinchera","Bronce solida 36 · Murph A/P","Caja + esfera montadas","Trinchera","https://es.aliexpress.com/item/1005008932757286.html","https://es.aliexpress.com/item/1005012681807350.html"
"Cabeza","LO-02-C2-E4","Trinchera","Bronce solida 36 · Khaki Seg Rojo","Caja + esfera montadas","Trinchera","https://es.aliexpress.com/item/1005008932757286.html","https://es.aliexpress.com/item/1005005292610859.html"
"Cabeza","LO-02-C2-E5","Trinchera","Bronce solida 36 · Khaki Seg Plata","Caja + esfera montadas","Trinchera","https://es.aliexpress.com/item/1005008932757286.html","https://es.aliexpress.com/item/1005005292610859.html"
"Cabeza","LO-02-C3-E1","Trinchera","Negra solida 36 · Murph N/A","Caja + esfera montadas","Trinchera","https://es.aliexpress.com/item/1005008932757286.html","https://es.aliexpress.com/item/1005012681807350.html"
"Cabeza","LO-02-C3-E2","Trinchera","Negra solida 36 · Murph N/B","Caja + esfera montadas","Trinchera","https://es.aliexpress.com/item/1005008932757286.html","https://es.aliexpress.com/item/1005012681807350.html"
"Cabeza","LO-02-C3-E3","Trinchera","Negra solida 36 · Murph A/P","Caja + esfera montadas","Trinchera","https://es.aliexpress.com/item/1005008932757286.html","https://es.aliexpress.com/item/1005012681807350.html"
