Tipo,Referencia,Modelo,Pieza,Detalle,Se_usa_en,URL_pieza,URL_esfera,Ya_entregada
CABEZA,LO-01-C1-E1,Precisa,Solida plata,Azul claro,Precisa,https://es.aliexpress.com/item/1005011649275530.html,https://es.aliexpress.com/item/1005008683926798.html,
CABEZA,LO-01-C1-E2,Precisa,Solida plata,Azul oscuro,Precisa,https://es.aliexpress.com/item/1005011649275530.html,https://es.aliexpress.com/item/1005008683926798.html,
CABEZA,LO-01-C1-E3,Precisa,Solida plata,Blanca,Precisa,https://es.aliexpress.com/item/1005011649275530.html,https://es.aliexpress.com/item/1005008683926798.html,
CABEZA,LO-01-C1-E4,Precisa,Solida plata,Negra,Precisa,https://es.aliexpress.com/item/1005011649275530.html,https://es.aliexpress.com/item/1005008683926798.html,
CABEZA,LO-01-C2-E1,Precisa,Cristal plata,Azul claro,Precisa,https://es.aliexpress.com/item/1005008684803503.html,https://es.aliexpress.com/item/1005008683926798.html,
CABEZA,LO-01-C2-E2,Precisa,Cristal plata,Azul oscuro,Precisa,https://es.aliexpress.com/item/1005008684803503.html,https://es.aliexpress.com/item/1005008683926798.html,
CABEZA,LO-01-C2-E3,Precisa,Cristal plata,Blanca,Precisa,https://es.aliexpress.com/item/1005008684803503.html,https://es.aliexpress.com/item/1005008683926798.html,
CABEZA,LO-01-C2-E4,Precisa,Cristal plata,Negra,Precisa,https://es.aliexpress.com/item/1005008684803503.html,https://es.aliexpress.com/item/1005008683926798.html,
BRAZALETE,Brz-Precisa-316,Precisa,"Acero 316, color plata","Plata · viene con la caja, no se pide aparte",Precisa,https://es.aliexpress.com/item/1005011649275530.html,,
CABEZA,LO-02-C1-E1,Trinchera,Plata solida 36,Murph N/A,Trinchera,https://es.aliexpress.com/item/1005008932757286.html,https://es.aliexpress.com/item/1005012681807350.html,
CABEZA,LO-02-C1-E2,Trinchera,Plata solida 36,Murph N/B,Trinchera,https://es.aliexpress.com/item/1005008932757286.html,https://es.aliexpress.com/item/1005012681807350.html,
CABEZA,LO-02-C1-E3,Trinchera,Plata solida 36,Murph A/P,Trinchera,https://es.aliexpress.com/item/1005008932757286.html,https://es.aliexpress.com/item/1005012681807350.html,
CABEZA,LO-02-C1-E4,Trinchera,Plata solida 36,Khaki Seg Rojo,Trinchera,https://es.aliexpress.com/item/1005008932757286.html,https://es.aliexpress.com/item/1005005292610859.html,
CABEZA,LO-02-C1-E5,Trinchera,Plata solida 36,Khaki Seg Plata,Trinchera,https://es.aliexpress.com/item/1005008932757286.html,https://es.aliexpress.com/item/1005005292610859.html,
CABEZA,LO-02-C2-E1,Trinchera,Bronce solida 36,Murph N/A,Trinchera,https://es.aliexpress.com/item/1005008932757286.html,https://es.aliexpress.com/item/1005012681807350.html,
CABEZA,LO-02-C2-E2,Trinchera,Bronce solida 36,Murph N/B,Trinchera,https://es.aliexpress.com/item/1005008932757286.html,https://es.aliexpress.com/item/1005012681807350.html,
CABEZA,LO-02-C2-E3,Trinchera,Bronce solida 36,Murph A/P,Trinchera,https://es.aliexpress.com/item/1005008932757286.html,https://es.aliexpress.com/item/1005012681807350.html,
CABEZA,LO-02-C2-E4,Trinchera,Bronce solida 36,Khaki Seg Rojo,Trinchera,https://es.aliexpress.com/item/1005008932757286.html,https://es.aliexpress.com/item/1005005292610859.html,
CABEZA,LO-02-C2-E5,Trinchera,Bronce solida 36,Khaki Seg Plata,Trinchera,https://es.aliexpress.com/item/1005008932757286.html,https://es.aliexpress.com/item/1005005292610859.html,
CABEZA,LO-02-C3-E1,Trinchera,Negra solida 36,Murph N/A,Trinchera,https://es.aliexpress.com/item/1005008932757286.html,https://es.aliexpress.com/item/1005012681807350.html,
CABEZA,LO-02-C3-E2,Trinchera,Negra solida 36,Murph N/B,Trinchera,https://es.aliexpress.com/item/1005008932757286.html,https://es.aliexpress.com/item/1005012681807350.html,
CABEZA,LO-02-C3-E3,Trinchera,Negra solida 36,Murph A/P,Trinchera,https://es.aliexpress.com/item/1005008932757286.html,https://es.aliexpress.com/item/1005012681807350.html,
CABEZA,LO-02-C3-E4,Trinchera,Negra solida 36,Khaki Seg Rojo,Trinchera,https://es.aliexpress.com/item/1005008932757286.html,https://es.aliexpress.com/item/1005005292610859.html,
CABEZA,LO-02-C3-E5,Trinchera,Negra solida 36,Khaki Seg Plata,Trinchera,https://es.aliexpress.com/item/1005008932757286.html,https://es.aliexpress.com/item/1005005292610859.html,
CABEZA,LO-02-C4-E1,Trinchera,Titanio solida 36,Murph N/A,Trinchera,https://es.aliexpress.com/item/1005005301468458.html?,https://es.aliexpress.com/item/1005012681807350.html,
CABEZA,LO-02-C4-E2,Trinchera,Titanio solida 36,Murph N/B,Trinchera,https://es.aliexpress.com/item/1005005301468458.html?,https://es.aliexpress.com/item/1005012681807350.html,
CABEZA,LO-02-C4-E3,Trinchera,Titanio solida 36,Murph A/P,Trinchera,https://es.aliexpress.com/item/1005005301468458.html?,https://es.aliexpress.com/item/1005012681807350.html,
CABEZA,LO-02-C4-E4,Trinchera,Titanio solida 36,Khaki Seg Rojo,Trinchera,https://es.aliexpress.com/item/1005005301468458.html?,https://es.aliexpress.com/item/1005005292610859.html,
CABEZA,LO-02-C4-E5,Trinchera,Titanio solida 36,Khaki Seg Plata,Trinchera,https://es.aliexpress.com/item/1005005301468458.html?,https://es.aliexpress.com/item/1005005292610859.html,
CABEZA,LO-02-C5-E1,Trinchera,Plata cristal 36,Murph N/A,Trinchera,https://es.aliexpress.com/item/1005008932757286.html,https://es.aliexpress.com/item/1005012681807350.html,
CABEZA,LO-02-C5-E2,Trinchera,Plata cristal 36,Murph N/B,Trinchera,https://es.aliexpress.com/item/1005008932757286.html,https://es.aliexpress.com/item/1005012681807350.html,
CABEZA,LO-02-C5-E3,Trinchera,Plata cristal 36,Murph A/P,Trinchera,https://es.aliexpress.com/item/1005008932757286.html,https://es.aliexpress.com/item/1005012681807350.html,
CABEZA,LO-02-C5-E4,Trinchera,Plata cristal 36,Khaki Seg Rojo,Trinchera,https://es.aliexpress.com/item/1005008932757286.html,https://es.aliexpress.com/item/1005005292610859.html,
CABEZA,LO-02-C5-E5,Trinchera,Plata cristal 36,Khaki Seg Plata,Trinchera,https://es.aliexpress.com/item/1005008932757286.html,https://es.aliexpress.com/item/1005005292610859.html,
CABEZA,LO-02-C6-E1,Trinchera,Bronce cristal 36,Murph N/A,Trinchera,https://es.aliexpress.com/item/1005008932757286.html,https://es.aliexpress.com/item/1005012681807350.html,
CABEZA,LO-02-C6-E2,Trinchera,Bronce cristal 36,Murph N/B,Trinchera,https://es.aliexpress.com/item/1005008932757286.html,https://es.aliexpress.com/item/1005012681807350.html,
CABEZA,LO-02-C6-E3,Trinchera,Bronce cristal 36,Murph A/P,Trinchera,https://es.aliexpress.com/item/1005008932757286.html,https://es.aliexpress.com/item/1005012681807350.html,
CABEZA,LO-02-C6-E4,Trinchera,Bronce cristal 36,Khaki Seg Rojo,Trinchera,https://es.aliexpress.com/item/1005008932757286.html,https://es.aliexpress.com/item/1005005292610859.html,
CABEZA,LO-02-C6-E5,Trinchera,Bronce cristal 36,Khaki Seg Plata,Trinchera,https://es.aliexpress.com/item/1005008932757286.html,https://es.aliexpress.com/item/1005005292610859.html,
CABEZA,LO-02-C7-E1,Trinchera,Negra cristal 36,Murph N/A,Trinchera,https://es.aliexpress.com/item/1005008932757286.html,https://es.aliexpress.com/item/1005012681807350.html,
CABEZA,LO-02-C7-E2,Trinchera,Negra cristal 36,Murph N/B,Trinchera,https://es.aliexpress.com/item/1005008932757286.html,https://es.aliexpress.com/item/1005012681807350.html,
CABEZA,LO-02-C7-E3,Trinchera,Negra cristal 36,Murph A/P,Trinchera,https://es.aliexpress.com/item/1005008932757286.html,https://es.aliexpress.com/item/1005012681807350.html,
CABEZA,LO-02-C7-E4,Trinchera,Negra cristal 36,Khaki Seg Rojo,Trinchera,https://es.aliexpress.com/item/1005008932757286.html,https://es.aliexpress.com/item/1005005292610859.html,
CABEZA,LO-02-C7-E5,Trinchera,Negra cristal 36,Khaki Seg Plata,Trinchera,https://es.aliexpress.com/item/1005008932757286.html,https://es.aliexpress.com/item/1005005292610859.html,
CABEZA,LO-02-C8-E1,Trinchera,Plata solida 39,Murph N/A,Trinchera,https://es.aliexpress.com/item/1005008932757286.html,https://es.aliexpress.com/item/1005012681807350.html,
CABEZA,LO-02-C8-E2,Trinchera,Plata solida 39,Murph N/B,Trinchera,https://es.aliexpress.com/item/1005008932757286.html,https://es.aliexpress.com/item/1005012681807350.html,
CABEZA,LO-02-C8-E3,Trinchera,Plata solida 39,Murph A/P,Trinchera,https://es.aliexpress.com/item/1005008932757286.html,https://es.aliexpress.com/item/1005012681807350.html,
CABEZA,LO-02-C8-E4,Trinchera,Plata solida 39,Khaki Seg Rojo,Trinchera,https://es.aliexpress.com/item/1005008932757286.html,https://es.aliexpress.com/item/1005005292610859.html,
CABEZA,LO-02-C8-E5,Trinchera,Plata solida 39,Khaki Seg Plata,Trinchera,https://es.aliexpress.com/item/1005008932757286.html,https://es.aliexpress.com/item/1005005292610859.html,
CABEZA,LO-02-C9-E1,Trinchera,Bronce solida 39,Murph N/A,Trinchera,https://es.aliexpress.com/item/1005008932757286.html,https://es.aliexpress.com/item/1005012681807350.html,
CABEZA,LO-02-C9-E2,Trinchera,Bronce solida 39,Murph N/B,Trinchera,https://es.aliexpress.com/item/1005008932757286.html,https://es.aliexpress.com/item/1005012681807350.html,
CABEZA,LO-02-C9-E3,Trinchera,Bronce solida 39,Murph A/P,Trinchera,https://es.aliexpress.com/item/1005008932757286.html,https://es.aliexpress.com/item/1005012681807350.html,
CABEZA,LO-02-C9-E4,Trinchera,Bronce solida 39,Khaki Seg Rojo,Trinchera,https://es.aliexpress.com/item/1005008932757286.html,https://es.aliexpress.com/item/1005005292610859.html,
CABEZA,LO-02-C9-E5,Trinchera,Bronce solida 39,Khaki Seg Plata,Trinchera,https://es.aliexpress.com/item/1005008932757286.html,https://es.aliexpress.com/item/1005005292610859.html,
CABEZA,LO-02-C10-E1,Trinchera,Negra solida 39,Murph N/A,Trinchera,https://es.aliexpress.com/item/1005008932757286.html,https://es.aliexpress.com/item/1005012681807350.html,
CABEZA,LO-02-C10-E2,Trinchera,Negra solida 39,Murph N/B,Trinchera,https://es.aliexpress.com/item/1005008932757286.html,https://es.aliexpress.com/item/1005012681807350.html,
CABEZA,LO-02-C10-E3,Trinchera,Negra solida 39,Murph A/P,Trinchera,https://es.aliexpress.com/item/1005008932757286.html,https://es.aliexpress.com/item/1005012681807350.html,
CABEZA,LO-02-C10-E4,Trinchera,Negra solida 39,Khaki Seg Rojo,Trinchera,https://es.aliexpress.com/item/1005008932757286.html,https://es.aliexpress.com/item/1005005292610859.html,
CABEZA,LO-02-C10-E5,Trinchera,Negra solida 39,Khaki Seg Plata,Trinchera,https://es.aliexpress.com/item/1005008932757286.html,https://es.aliexpress.com/item/1005005292610859.html,
CABEZA,LO-02-C11-E1,Trinchera,Titanio solida 39,Murph N/A,Trinchera,https://es.aliexpress.com/item/1005005301468458.html?,https://es.aliexpress.com/item/1005012681807350.html,
CABEZA,LO-02-C11-E2,Trinchera,Titanio solida 39,Murph N/B,Trinchera,https://es.aliexpress.com/item/1005005301468458.html?,https://es.aliexpress.com/item/1005012681807350.html,
CABEZA,LO-02-C11-E3,Trinchera,Titanio solida 39,Murph A/P,Trinchera,https://es.aliexpress.com/item/1005005301468458.html?,https://es.aliexpress.com/item/1005012681807350.html,
CABEZA,LO-02-C11-E4,Trinchera,Titanio solida 39,Khaki Seg Rojo,Trinchera,https://es.aliexpress.com/item/1005005301468458.html?,https://es.aliexpress.com/item/1005005292610859.html,
CABEZA,LO-02-C11-E5,Trinchera,Titanio solida 39,Khaki Seg Plata,Trinchera,https://es.aliexpress.com/item/1005005301468458.html?,https://es.aliexpress.com/item/1005005292610859.html,
CABEZA,LO-02-C12-E1,Trinchera,Plata cristal 39,Murph N/A,Trinchera,https://es.aliexpress.com/item/1005008932757286.html,https://es.aliexpress.com/item/1005012681807350.html,
CABEZA,LO-02-C12-E2,Trinchera,Plata cristal 39,Murph N/B,Trinchera,https://es.aliexpress.com/item/1005008932757286.html,https://es.aliexpress.com/item/1005012681807350.html,
CABEZA,LO-02-C12-E3,Trinchera,Plata cristal 39,Murph A/P,Trinchera,https://es.aliexpress.com/item/1005008932757286.html,https://es.aliexpress.com/item/1005012681807350.html,
CABEZA,LO-02-C12-E4,Trinchera,Plata cristal 39,Khaki Seg Rojo,Trinchera,https://es.aliexpress.com/item/1005008932757286.html,https://es.aliexpress.com/item/1005005292610859.html,
CABEZA,LO-02-C12-E5,Trinchera,Plata cristal 39,Khaki Seg Plata,Trinchera,https://es.aliexpress.com/item/1005008932757286.html,https://es.aliexpress.com/item/1005005292610859.html,
CABEZA,LO-02-C13-E1,Trinchera,Bronce cristal 39,Murph N/A,Trinchera,https://es.aliexpress.com/item/1005008932757286.html,https://es.aliexpress.com/item/1005012681807350.html,
CABEZA,LO-02-C13-E2,Trinchera,Bronce cristal 39,Murph N/B,Trinchera,https://es.aliexpress.com/item/1005008932757286.html,https://es.aliexpress.com/item/1005012681807350.html,
CABEZA,LO-02-C13-E3,Trinchera,Bronce cristal 39,Murph A/P,Trinchera,https://es.aliexpress.com/item/1005008932757286.html,https://es.aliexpress.com/item/1005012681807350.html,
CABEZA,LO-02-C13-E4,Trinchera,Bronce cristal 39,Khaki Seg Rojo,Trinchera,https://es.aliexpress.com/item/1005008932757286.html,https://es.aliexpress.com/item/1005005292610859.html,
CABEZA,LO-02-C13-E5,Trinchera,Bronce cristal 39,Khaki Seg Plata,Trinchera,https://es.aliexpress.com/item/1005008932757286.html,https://es.aliexpress.com/item/1005005292610859.html,
CABEZA,LO-02-C14-E1,Trinchera,Negra cristal 39,Murph N/A,Trinchera,https://es.aliexpress.com/item/1005008932757286.html,https://es.aliexpress.com/item/1005012681807350.html,
CABEZA,LO-02-C14-E2,Trinchera,Negra cristal 39,Murph N/B,Trinchera,https://es.aliexpress.com/item/1005008932757286.html,https://es.aliexpress.com/item/1005012681807350.html,
CABEZA,LO-02-C14-E3,Trinchera,Negra cristal 39,Murph A/P,Trinchera,https://es.aliexpress.com/item/1005008932757286.html,https://es.aliexpress.com/item/1005012681807350.html,
CABEZA,LO-02-C14-E4,Trinchera,Negra cristal 39,Khaki Seg Rojo,Trinchera,https://es.aliexpress.com/item/1005008932757286.html,https://es.aliexpress.com/item/1005005292610859.html,
CABEZA,LO-02-C14-E5,Trinchera,Negra cristal 39,Khaki Seg Plata,Trinchera,https://es.aliexpress.com/item/1005008932757286.html,https://es.aliexpress.com/item/1005005292610859.html,
BRAZALETE,Brz-Piel-P01,Trinchera,Piel con liberación rápida,"Negro, pespunte blanco, hebilla mariposa plateada","Lunar, Cero Cero",https://es.aliexpress.com/item/1005007805649477.html,,
BRAZALETE,Brz-Piel-P02,Trinchera,Piel con liberación rápida,"Negro, pespunte blanco, hebilla clásica plateada","Lunar, Cero Cero",https://es.aliexpress.com/item/1005007805649477.html,,
BRAZALETE,Brz-Piel-P03,Trinchera,Piel con liberación rápida,"Negro, pespunte blanco, hebilla clásica negra","Lunar, Cero Cero",https://es.aliexpress.com/item/1005007805649477.html,,
BRAZALETE,Brz-Piel-P04,Trinchera,Piel con liberación rápida,"Negro, pespunte blanco, hebilla clásica de oro rosa","Lunar, Cero Cero",https://es.aliexpress.com/item/1005007805649477.html,,
BRAZALETE,Brz-Piel-P05,Trinchera,Piel con liberación rápida,"Negro, pespunte negro, hebilla mariposa plateada","Lunar, Cero Cero",https://es.aliexpress.com/item/1005007805649477.html,,
BRAZALETE,Brz-Piel-P06,Trinchera,Piel con liberación rápida,"Negro, pespunte negro, hebilla clásica plateada","Lunar, Cero Cero",https://es.aliexpress.com/item/1005007805649477.html,,
BRAZALETE,Brz-Piel-P07,Trinchera,Piel con liberación rápida,"Negro, pespunte negro, hebilla clásica negra","Lunar, Cero Cero",https://es.aliexpress.com/item/1005007805649477.html,,
BRAZALETE,Brz-Piel-P08,Trinchera,Piel con liberación rápida,"Negro, pespunte negro, hebilla clásica de oro rosa","Lunar, Cero Cero",https://es.aliexpress.com/item/1005007805649477.html,,
BRAZALETE,Brz-Piel-P09,Trinchera,Piel con liberación rápida,"Marrón oscuro, pespunte blanco, hebilla mariposa plateada","Lunar, Cero Cero",https://es.aliexpress.com/item/1005007805649477.html,,
BRAZALETE,Brz-Piel-P10,Trinchera,Piel con liberación rápida,"Marrón oscuro, pespunte blanco, hebilla clásica plateada","Lunar, Cero Cero",https://es.aliexpress.com/item/1005007805649477.html,,
BRAZALETE,Brz-Piel-P11,Trinchera,Piel con liberación rápida,"Marrón oscuro, pespunte blanco, hebilla clásica negra","Lunar, Cero Cero",https://es.aliexpress.com/item/1005007805649477.html,,
BRAZALETE,Brz-Piel-P12,Trinchera,Piel con liberación rápida,"Marrón oscuro, pespunte blanco, hebilla clásica de oro rosa","Lunar, Cero Cero",https://es.aliexpress.com/item/1005007805649477.html,,
BRAZALETE,Brz-Piel-P13,Trinchera,Piel con liberación rápida,"Marrón oscuro, pespunte negro, hebilla mariposa plateada","Lunar, Cero Cero",https://es.aliexpress.com/item/1005007805649477.html,,
BRAZALETE,Brz-Piel-P14,Trinchera,Piel con liberación rápida,"Marrón oscuro, pespunte negro, hebilla clásica plateada","Lunar, Cero Cero",https://es.aliexpress.com/item/1005007805649477.html,,
BRAZALETE,Brz-Piel-P15,Trinchera,Piel con liberación rápida,"Marrón oscuro, pespunte negro, hebilla clásica negra","Lunar, Cero Cero",https://es.aliexpress.com/item/1005007805649477.html,,
BRAZALETE,Brz-Piel-P16,Trinchera,Piel con liberación rápida,"Marrón oscuro, pespunte negro, hebilla clásica de oro rosa","Lunar, Cero Cero",https://es.aliexpress.com/item/1005007805649477.html,,
BRAZALETE,Brz-Piel-P17,Trinchera,Piel con liberación rápida,"Azul, pespunte blanco, hebilla mariposa plateada","Lunar, Cero Cero",https://es.aliexpress.com/item/1005007805649477.html,,
BRAZALETE,Brz-Piel-P18,Trinchera,Piel con liberación rápida,"Azul, pespunte blanco, hebilla clásica plateada","Lunar, Cero Cero",https://es.aliexpress.com/item/1005007805649477.html,,
BRAZALETE,Brz-Piel-P19,Trinchera,Piel con liberación rápida,"Azul, pespunte blanco, hebilla clásica negra","Lunar, Cero Cero",https://es.aliexpress.com/item/1005007805649477.html,,
BRAZALETE,Brz-Piel-P20,Trinchera,Piel con liberación rápida,"Azul, pespunte blanco, hebilla clásica de oro rosa","Lunar, Cero Cero",https://es.aliexpress.com/item/1005007805649477.html,,
BRAZALETE,Brz-Piel-P21,Trinchera,Piel con liberación rápida,"Azul, pespunte negro, hebilla mariposa plateada","Lunar, Cero Cero",https://es.aliexpress.com/item/1005007805649477.html,,
BRAZALETE,Brz-Piel-P22,Trinchera,Piel con liberación rápida,"Azul, pespunte negro, hebilla clásica plateada","Lunar, Cero Cero",https://es.aliexpress.com/item/1005007805649477.html,,
BRAZALETE,Brz-Piel-P23,Trinchera,Piel con liberación rápida,"Azul, pespunte negro, hebilla clásica negra","Lunar, Cero Cero",https://es.aliexpress.com/item/1005007805649477.html,,
BRAZALETE,Brz-Piel-P24,Trinchera,Piel con liberación rápida,"Azul, pespunte negro, hebilla clásica de oro rosa","Lunar, Cero Cero",https://es.aliexpress.com/item/1005007805649477.html,,
BRAZALETE,Brz-Piel-P25,Trinchera,Piel con liberación rápida,"Verde, pespunte blanco, hebilla mariposa plateada","Lunar, Cero Cero",https://es.aliexpress.com/item/1005007805649477.html,,
BRAZALETE,Brz-Piel-P26,Trinchera,Piel con liberación rápida,"Verde, pespunte blanco, hebilla clásica plateada","Lunar, Cero Cero",https://es.aliexpress.com/item/1005007805649477.html,,
BRAZALETE,Brz-Piel-P27,Trinchera,Piel con liberación rápida,"Verde, pespunte blanco, hebilla clásica negra","Lunar, Cero Cero",https://es.aliexpress.com/item/1005007805649477.html,,
BRAZALETE,Brz-Piel-P28,Trinchera,Piel con liberación rápida,"Verde, pespunte blanco, hebilla clásica de oro rosa","Lunar, Cero Cero",https://es.aliexpress.com/item/1005007805649477.html,,
BRAZALETE,Brz-Piel-P29,Trinchera,Piel con liberación rápida,"Verde, pespunte a tono, hebilla mariposa plateada","Lunar, Cero Cero",https://es.aliexpress.com/item/1005007805649477.html,,
BRAZALETE,Brz-Piel-P30,Trinchera,Piel con liberación rápida,"Verde, pespunte a tono, hebilla clásica plateada","Lunar, Cero Cero",https://es.aliexpress.com/item/1005007805649477.html,,
BRAZALETE,Brz-Piel-P31,Trinchera,Piel con liberación rápida,"Verde, pespunte a tono, hebilla clásica negra","Lunar, Cero Cero",https://es.aliexpress.com/item/1005007805649477.html,,
BRAZALETE,Brz-Sintetica-P50,Trinchera,Piel con liberación rápida,"Verde, pespunte a tono, hebilla clásica de oro rosa","Lunar, Cero Cero",https://es.aliexpress.com/item/1005007805649477.html,,
BRAZALETE,Brz-Sintetica-P51,Trinchera,"Piel sintética, hebilla mariposa",Marrón,"Lunar, Cero Cero",https://es.aliexpress.com/item/1005007038154540.html,,
BRAZALETE,Brz-Sintetica-P52,Trinchera,"Piel sintética, hebilla mariposa",Negro,"Lunar, Cero Cero",https://es.aliexpress.com/item/1005007038154540.html,,
BRAZALETE,Brz-Sintetica-P53,Trinchera,"Piel sintética, hebilla mariposa",Negro con pespunte blanco,"Lunar, Cero Cero",https://es.aliexpress.com/item/1005007038154540.html,,
BRAZALETE,Brz-Sintetica-P54,Trinchera,"Piel sintética, hebilla mariposa",Marrón con pespunte blanco,"Lunar, Cero Cero",https://es.aliexpress.com/item/1005007038154540.html,,
