N,Tipo,Archivo,Lienzo,Que_es,Estado,URL_proveedor,URL_esfera
1,CABEZA,LO-03-C1-E1.webp,1000 x 1000,Bisel Negro + esfera Negra,ENTREGADA,https://es.aliexpress.com/item/1005012383900167.html,https://es.aliexpress.com/item/1005011965146825.html
2,CABEZA,LO-03-C1-E2.webp,1000 x 1000,Bisel Negro + esfera Blanca,PENDIENTE,https://es.aliexpress.com/item/1005012383900167.html,https://es.aliexpress.com/item/1005011965146825.html
3,CABEZA,LO-03-C2-E2.webp,1000 x 1000,Bisel Azul + esfera Blanca,PENDIENTE,https://es.aliexpress.com/item/1005012383900167.html,https://es.aliexpress.com/item/1005011965146825.html
4,CABEZA,LO-03-C2-E3.webp,1000 x 1000,Bisel Azul + esfera Azul,PENDIENTE,https://es.aliexpress.com/item/1005012383900167.html,https://es.aliexpress.com/item/1005011965146825.html
5,BRAZALETE,Brz-316-A01.webp,1000 x 2400,"Acero 316L, cinco eslabones · Única",ENTREGADA,https://es.aliexpress.com/item/1005007891583645.html,
6,BRAZALETE,Brz-316-A02.webp,1000 x 2400,"Acero 316L, cierre desplegable · Plata",PENDIENTE,https://es.aliexpress.com/item/1005008728294161.html,
7,BRAZALETE,Brz-316-A03.webp,1000 x 2400,"Acero 316L, cierre desplegable · Plata y oro rosa",PENDIENTE,https://es.aliexpress.com/item/1005008728294161.html,
8,BRAZALETE,Brz-316-A04.webp,1000 x 2400,"Acero 316L, cierre desplegable · Negro",PENDIENTE,https://es.aliexpress.com/item/1005008728294161.html,
9,BRAZALETE,Brz-316-A05.webp,1000 x 2400,Acero 316L macizo · Tres eslabones,PENDIENTE,https://es.aliexpress.com/item/1005006729305423.html,
10,BRAZALETE,Brz-316-A06.webp,1000 x 2400,Acero 316L macizo · Cinco eslabones,PENDIENTE,https://es.aliexpress.com/item/1005006729305423.html,
11,BRAZALETE,Brz-316-A07.webp,1000 x 2400,Acero 316L macizo · Nueve eslabones,PENDIENTE,https://es.aliexpress.com/item/1005006729305423.html,
12,BRAZALETE,Brz-316-A10.webp,1000 x 2400,"Acero 316L macizo, eslabón ancho · Tres eslabones",PENDIENTE,https://es.aliexpress.com/item/1005012743124313.html,
13,BRAZALETE,Brz-316-A11.webp,1000 x 2400,"Acero 316L macizo, eslabón fino · Cinco eslabones",PENDIENTE,https://es.aliexpress.com/item/1005012743124313.html,
14,BRAZALETE,Brz-904-A12.webp,1000 x 2400,Acero 904L macizo · Mate cepillado,PENDIENTE,https://es.aliexpress.com/item/1005012594384366.html,
15,BRAZALETE,Brz-904-A13.webp,1000 x 2400,Acero 904L macizo · Brillante pulido,PENDIENTE,https://es.aliexpress.com/item/1005012594384366.html,
16,BRAZALETE,Brz-904-A14.webp,1000 x 2400,"Acero 904L, eslabones planos · Plata 5 eslabones",PENDIENTE,https://es.aliexpress.com/item/1005008523066119.html,
17,BRAZALETE,Brz-904-A15.webp,1000 x 2400,"Acero 904L, eslabones planos · Plata / Oro rosa 5 eslabones",PENDIENTE,https://es.aliexpress.com/item/1005008523066119.html,
18,BRAZALETE,Brz-904-A16.webp,1000 x 2400,"Acero 904L, eslabones planos · Negro 5 eslabones",PENDIENTE,https://es.aliexpress.com/item/1005008523066119.html,
19,BRAZALETE,Brz-904-A17.webp,1000 x 2400,"Acero 904L, eslabones planos · Plata 3 eslabones cepillado/mate",PENDIENTE,https://es.aliexpress.com/item/1005008523066119.html,
20,BRAZALETE,Brz-904-A18.webp,1000 x 2400,"Acero 904L, eslabones planos · Plata 3 eslabones pulido",PENDIENTE,https://es.aliexpress.com/item/1005008523066119.html,
21,BRAZALETE,Brz-904-A19.webp,1000 x 2400,"Acero 904L, eslabones planos · Negro 3 eslabones pulido",PENDIENTE,https://es.aliexpress.com/item/1005008523066119.html,
22,BRAZALETE,Brz-904-A20.webp,1000 x 2400,"Acero 904L, eslabones planos · Plata / Oro Rosa 3 eslabones pulido",PENDIENTE,https://es.aliexpress.com/item/1005008523066119.html,
23,BRAZALETE,Brz-Goma-G01.webp,1000 x 2400,Caucho con hebilla de acero · Negro,PENDIENTE,https://es.aliexpress.com/item/1005010706660703.html,
24,BRAZALETE,Brz-Goma-G02.webp,1000 x 2400,Caucho con hebilla de acero · Blanco,PENDIENTE,https://es.aliexpress.com/item/1005010706660703.html,
25,BRAZALETE,Brz-Goma-G03.webp,1000 x 2400,Caucho con hebilla de acero · Rojo,PENDIENTE,https://es.aliexpress.com/item/1005010706660703.html,
26,BRAZALETE,Brz-Goma-G04.webp,1000 x 2400,Caucho con hebilla de acero · Naranja,PENDIENTE,https://es.aliexpress.com/item/1005010706660703.html,
27,BRAZALETE,Brz-Goma-G05.webp,1000 x 2400,Caucho con hebilla de acero · Azul,PENDIENTE,https://es.aliexpress.com/item/1005010706660703.html,
28,BRAZALETE,Brz-Goma-G06.webp,1000 x 2400,Caucho con hebilla de acero · Marrón,PENDIENTE,https://es.aliexpress.com/item/1005010706660703.html,
29,BRAZALETE,Brz-Goma-G07.webp,1000 x 2400,Caucho con hebilla de acero · Gris,PENDIENTE,https://es.aliexpress.com/item/1005010706660703.html,
30,BRAZALETE,Brz-Caucho-C01.webp,1000 x 2400,"Caucho fluorado, cierre desplegable · Azul real blanco 01",PENDIENTE,https://es.aliexpress.com/item/1005010530116265.html,
31,BRAZALETE,Brz-Caucho-C02.webp,1000 x 2400,"Caucho fluorado, cierre desplegable · Negro blanco",PENDIENTE,https://es.aliexpress.com/item/1005010530116265.html,
32,BRAZALETE,Brz-Caucho-C03.webp,1000 x 2400,"Caucho fluorado, cierre desplegable · Negro negro",PENDIENTE,https://es.aliexpress.com/item/1005010530116265.html,
33,BRAZALETE,Brz-Caucho-C04.webp,1000 x 2400,"Caucho fluorado, cierre desplegable · Verde militar blanco",PENDIENTE,https://es.aliexpress.com/item/1005010530116265.html,
34,BRAZALETE,Brz-Caucho-C05.webp,1000 x 2400,"Caucho fluorado, cierre desplegable · Azul real blanco",PENDIENTE,https://es.aliexpress.com/item/1005010530116265.html,
35,BRAZALETE,Brz-Caucho-C06.webp,1000 x 2400,"Caucho fluorado, cierre desplegable · Rojo blanco",PENDIENTE,https://es.aliexpress.com/item/1005010530116265.html,
36,BRAZALETE,Brz-Caucho-C07.webp,1000 x 2400,"Caucho fluorado, cierre desplegable · Naranja blanco",PENDIENTE,https://es.aliexpress.com/item/1005010530116265.html,
37,BRAZALETE,Brz-Caucho-C08.webp,1000 x 2400,"Caucho fluorado, cierre desplegable · Gris blanco",PENDIENTE,https://es.aliexpress.com/item/1005010530116265.html,
38,BRAZALETE,Brz-Caucho-C09.webp,1000 x 2400,"Caucho fluorado, cierre desplegable · Beige blanco",PENDIENTE,https://es.aliexpress.com/item/1005010530116265.html,
39,BRAZALETE,Brz-Caucho-C10.webp,1000 x 2400,"Caucho fluorado, cierre desplegable · Negro blanco 01",PENDIENTE,https://es.aliexpress.com/item/1005010530116265.html,
40,BRAZALETE,Brz-Caucho-C11.webp,1000 x 2400,"Caucho fluorado, cierre desplegable · Negro negro 01",PENDIENTE,https://es.aliexpress.com/item/1005010530116265.html,
41,BRAZALETE,Brz-Caucho-C12.webp,1000 x 2400,"Caucho fluorado, cierre desplegable · Verde militar blanco 01",PENDIENTE,https://es.aliexpress.com/item/1005010530116265.html,
42,BRAZALETE,Brz-Caucho-C13.webp,1000 x 2400,"Caucho fluorado, cierre desplegable · Rojo blanco 01",PENDIENTE,https://es.aliexpress.com/item/1005010530116265.html,
43,BRAZALETE,Brz-Caucho-C14.webp,1000 x 2400,"Caucho fluorado, cierre desplegable · Naranja blanco 01",PENDIENTE,https://es.aliexpress.com/item/1005010530116265.html,
44,BRAZALETE,Brz-Caucho-C15.webp,1000 x 2400,"Caucho fluorado, cierre desplegable · Gris blanco 01",PENDIENTE,https://es.aliexpress.com/item/1005010530116265.html,
45,BRAZALETE,Brz-Caucho-C16.webp,1000 x 2400,"Caucho fluorado, cierre desplegable · Beige blanco 01",PENDIENTE,https://es.aliexpress.com/item/1005010530116265.html,
46,BRAZALETE,Brz-Caucho-C17.webp,1000 x 2400,"Caucho fluorado, cierre desplegable · Negro blanco 02",PENDIENTE,https://es.aliexpress.com/item/1005010530116265.html,
47,BRAZALETE,Brz-Caucho-C18.webp,1000 x 2400,"Caucho fluorado, cierre desplegable · Negro negro 02",PENDIENTE,https://es.aliexpress.com/item/1005010530116265.html,
48,BRAZALETE,Brz-Caucho-C19.webp,1000 x 2400,"Caucho fluorado, cierre desplegable · Verde militar blanco 02",PENDIENTE,https://es.aliexpress.com/item/1005010530116265.html,
49,BRAZALETE,Brz-Caucho-C20.webp,1000 x 2400,"Caucho fluorado, cierre desplegable · Rojo blanco 02",PENDIENTE,https://es.aliexpress.com/item/1005010530116265.html,
50,BRAZALETE,Brz-Caucho-C21.webp,1000 x 2400,"Caucho fluorado, cierre desplegable · Naranja blanco 02",PENDIENTE,https://es.aliexpress.com/item/1005010530116265.html,
51,BRAZALETE,Brz-Caucho-C22.webp,1000 x 2400,"Caucho fluorado, cierre desplegable · Gris blanco 02",PENDIENTE,https://es.aliexpress.com/item/1005010530116265.html,
52,BRAZALETE,Brz-Caucho-C23.webp,1000 x 2400,"Caucho fluorado, cierre desplegable · Blanco blanco 01",PENDIENTE,https://es.aliexpress.com/item/1005010530116265.html,
53,BRAZALETE,Brz-Caucho-C24.webp,1000 x 2400,"Caucho fluorado, cierre desplegable · Blanco blanco 02",PENDIENTE,https://es.aliexpress.com/item/1005010530116265.html,
54,BRAZALETE,Brz-Caucho-C25.webp,1000 x 2400,"Caucho fluorado, cierre desplegable · Marrón blanco 01",PENDIENTE,https://es.aliexpress.com/item/1005010530116265.html,
55,BRAZALETE,Brz-Caucho-C26.webp,1000 x 2400,"Caucho fluorado, cierre desplegable · Azul real blanco 02",PENDIENTE,https://es.aliexpress.com/item/1005010530116265.html,
56,BRAZALETE,Brz-Caucho-C27.webp,1000 x 2400,"Caucho fluorado, cierre desplegable · Marrón blanco 02",PENDIENTE,https://es.aliexpress.com/item/1005010530116265.html,
57,BRAZALETE,Brz-Caucho-C28.webp,1000 x 2400,"Caucho fluorado, cierre desplegable · Blanco blanco",PENDIENTE,https://es.aliexpress.com/item/1005010530116265.html,
58,BRAZALETE,Brz-Caucho-C29.webp,1000 x 2400,"Caucho fluorado, cierre desplegable · Marrón blanco",PENDIENTE,https://es.aliexpress.com/item/1005010530116265.html,
59,BRAZALETE,Brz-Caucho-C30.webp,1000 x 2400,"Caucho fluorado, cierre desplegable · Beige blanco 02",PENDIENTE,https://es.aliexpress.com/item/1005010530116265.html,
