Fase,Nombre_fase,Referencia_brazalete,Que_es,Cabeza,Archivo,URL_proveedor,Aviso
1,Control,Brz-316-A06,Acero 316L macizo · Cinco eslabones,C1-E1,LO-03-C1-E1-Brz-316-A06.webp,https://es.aliexpress.com/item/1005006729305423.html,
1,Control,Brz-316-A06,Acero 316L macizo · Cinco eslabones,C1-E2,LO-03-C1-E2-Brz-316-A06.webp,https://es.aliexpress.com/item/1005006729305423.html,
1,Control,Brz-316-A06,Acero 316L macizo · Cinco eslabones,C2-E2,LO-03-C2-E2-Brz-316-A06.webp,https://es.aliexpress.com/item/1005006729305423.html,
1,Control,Brz-316-A06,Acero 316L macizo · Cinco eslabones,C2-E3,LO-03-C2-E3-Brz-316-A06.webp,https://es.aliexpress.com/item/1005006729305423.html,
2,Acero 316L,Brz-316-A01,"Acero 316L, cinco eslabones · Única",C1-E1,LO-03-C1-E1-Brz-316-A01.webp,https://es.aliexpress.com/item/1005007891583645.html,OJO: la foto que hay es un TRES eslabones y la pieza es un JUBILEE DE CINCO.
2,Acero 316L,Brz-316-A01,"Acero 316L, cinco eslabones · Única",C1-E2,LO-03-C1-E2-Brz-316-A01.webp,https://es.aliexpress.com/item/1005007891583645.html,OJO: la foto que hay es un TRES eslabones y la pieza es un JUBILEE DE CINCO.
2,Acero 316L,Brz-316-A01,"Acero 316L, cinco eslabones · Única",C2-E2,LO-03-C2-E2-Brz-316-A01.webp,https://es.aliexpress.com/item/1005007891583645.html,OJO: la foto que hay es un TRES eslabones y la pieza es un JUBILEE DE CINCO.
2,Acero 316L,Brz-316-A01,"Acero 316L, cinco eslabones · Única",C2-E3,LO-03-C2-E3-Brz-316-A01.webp,https://es.aliexpress.com/item/1005007891583645.html,OJO: la foto que hay es un TRES eslabones y la pieza es un JUBILEE DE CINCO.
2,Acero 316L,Brz-316-A02,"Acero 316L, cierre desplegable · Plata",C1-E1,LO-03-C1-E1-Brz-316-A02.webp,https://es.aliexpress.com/item/1005008728294161.html,
2,Acero 316L,Brz-316-A02,"Acero 316L, cierre desplegable · Plata",C1-E2,LO-03-C1-E2-Brz-316-A02.webp,https://es.aliexpress.com/item/1005008728294161.html,
2,Acero 316L,Brz-316-A02,"Acero 316L, cierre desplegable · Plata",C2-E2,LO-03-C2-E2-Brz-316-A02.webp,https://es.aliexpress.com/item/1005008728294161.html,
2,Acero 316L,Brz-316-A02,"Acero 316L, cierre desplegable · Plata",C2-E3,LO-03-C2-E3-Brz-316-A02.webp,https://es.aliexpress.com/item/1005008728294161.html,
2,Acero 316L,Brz-316-A03,"Acero 316L, cierre desplegable · Plata y oro rosa",C1-E1,LO-03-C1-E1-Brz-316-A03.webp,https://es.aliexpress.com/item/1005008728294161.html,
2,Acero 316L,Brz-316-A03,"Acero 316L, cierre desplegable · Plata y oro rosa",C1-E2,LO-03-C1-E2-Brz-316-A03.webp,https://es.aliexpress.com/item/1005008728294161.html,
2,Acero 316L,Brz-316-A03,"Acero 316L, cierre desplegable · Plata y oro rosa",C2-E2,LO-03-C2-E2-Brz-316-A03.webp,https://es.aliexpress.com/item/1005008728294161.html,
2,Acero 316L,Brz-316-A03,"Acero 316L, cierre desplegable · Plata y oro rosa",C2-E3,LO-03-C2-E3-Brz-316-A03.webp,https://es.aliexpress.com/item/1005008728294161.html,
2,Acero 316L,Brz-316-A04,"Acero 316L, cierre desplegable · Negro",C1-E1,LO-03-C1-E1-Brz-316-A04.webp,https://es.aliexpress.com/item/1005008728294161.html,
2,Acero 316L,Brz-316-A04,"Acero 316L, cierre desplegable · Negro",C1-E2,LO-03-C1-E2-Brz-316-A04.webp,https://es.aliexpress.com/item/1005008728294161.html,
2,Acero 316L,Brz-316-A04,"Acero 316L, cierre desplegable · Negro",C2-E2,LO-03-C2-E2-Brz-316-A04.webp,https://es.aliexpress.com/item/1005008728294161.html,
2,Acero 316L,Brz-316-A04,"Acero 316L, cierre desplegable · Negro",C2-E3,LO-03-C2-E3-Brz-316-A04.webp,https://es.aliexpress.com/item/1005008728294161.html,
2,Acero 316L,Brz-316-A05,Acero 316L macizo · Tres eslabones,C1-E1,LO-03-C1-E1-Brz-316-A05.webp,https://es.aliexpress.com/item/1005006729305423.html,
2,Acero 316L,Brz-316-A05,Acero 316L macizo · Tres eslabones,C1-E2,LO-03-C1-E2-Brz-316-A05.webp,https://es.aliexpress.com/item/1005006729305423.html,
2,Acero 316L,Brz-316-A05,Acero 316L macizo · Tres eslabones,C2-E2,LO-03-C2-E2-Brz-316-A05.webp,https://es.aliexpress.com/item/1005006729305423.html,
2,Acero 316L,Brz-316-A05,Acero 316L macizo · Tres eslabones,C2-E3,LO-03-C2-E3-Brz-316-A05.webp,https://es.aliexpress.com/item/1005006729305423.html,
2,Acero 316L,Brz-316-A07,Acero 316L macizo · Nueve eslabones,C1-E1,LO-03-C1-E1-Brz-316-A07.webp,https://es.aliexpress.com/item/1005006729305423.html,
2,Acero 316L,Brz-316-A07,Acero 316L macizo · Nueve eslabones,C1-E2,LO-03-C1-E2-Brz-316-A07.webp,https://es.aliexpress.com/item/1005006729305423.html,
2,Acero 316L,Brz-316-A07,Acero 316L macizo · Nueve eslabones,C2-E2,LO-03-C2-E2-Brz-316-A07.webp,https://es.aliexpress.com/item/1005006729305423.html,
2,Acero 316L,Brz-316-A07,Acero 316L macizo · Nueve eslabones,C2-E3,LO-03-C2-E3-Brz-316-A07.webp,https://es.aliexpress.com/item/1005006729305423.html,
2,Acero 316L,Brz-316-A10,"Acero 316L macizo, eslabón ancho · Tres eslabones",C1-E1,LO-03-C1-E1-Brz-316-A10.webp,https://es.aliexpress.com/item/1005012743124313.html,OJO: nunca se ha entregado. Lo que mandaste era copia de la A05. Es eslabon ANCHO.
2,Acero 316L,Brz-316-A10,"Acero 316L macizo, eslabón ancho · Tres eslabones",C1-E2,LO-03-C1-E2-Brz-316-A10.webp,https://es.aliexpress.com/item/1005012743124313.html,OJO: nunca se ha entregado. Lo que mandaste era copia de la A05. Es eslabon ANCHO.
2,Acero 316L,Brz-316-A10,"Acero 316L macizo, eslabón ancho · Tres eslabones",C2-E2,LO-03-C2-E2-Brz-316-A10.webp,https://es.aliexpress.com/item/1005012743124313.html,OJO: nunca se ha entregado. Lo que mandaste era copia de la A05. Es eslabon ANCHO.
2,Acero 316L,Brz-316-A10,"Acero 316L macizo, eslabón ancho · Tres eslabones",C2-E3,LO-03-C2-E3-Brz-316-A10.webp,https://es.aliexpress.com/item/1005012743124313.html,OJO: nunca se ha entregado. Lo que mandaste era copia de la A05. Es eslabon ANCHO.
2,Acero 316L,Brz-316-A11,"Acero 316L macizo, eslabón fino · Cinco eslabones",C1-E1,LO-03-C1-E1-Brz-316-A11.webp,https://es.aliexpress.com/item/1005012743124313.html,OJO: nunca se ha entregado. Lo que mandaste era copia de la A06. Es eslabon FINO.
2,Acero 316L,Brz-316-A11,"Acero 316L macizo, eslabón fino · Cinco eslabones",C1-E2,LO-03-C1-E2-Brz-316-A11.webp,https://es.aliexpress.com/item/1005012743124313.html,OJO: nunca se ha entregado. Lo que mandaste era copia de la A06. Es eslabon FINO.
2,Acero 316L,Brz-316-A11,"Acero 316L macizo, eslabón fino · Cinco eslabones",C2-E2,LO-03-C2-E2-Brz-316-A11.webp,https://es.aliexpress.com/item/1005012743124313.html,OJO: nunca se ha entregado. Lo que mandaste era copia de la A06. Es eslabon FINO.
