ref	familia	nombre	mm	mecanismo	caja	esfera	correa_tipo	correa_color	cierre	asas_mm
H64455133	KHAKI FIELD	Khaki Field King Auto	40	Automático	Acero	Negro	Acero		Cierre desplegable	20
H64455523	KHAKI FIELD	Khaki Field King Auto	40	Automático	Acero	Beige	Piel de vaca		Hebillas	20
H64455533	KHAKI FIELD	Khaki Field King Auto	40	Automático	Acero	Negro	Piel de vaca		Hebillas	20
H64465733	KHAKI FIELD	Khaki Field King Auto	40	Automático	Acero PVD negro	Negro	Piel de becerro	negra	Hebillas	20
H64475131	KHAKI FIELD	Khaki Field King Day-Date	40	Automático	Acero	Negro	Acero		Desplegable Easy Click	20
H64475140	KHAKI FIELD	Khaki Field King Day-Date	40	Automático	Acero	Azul	Acero		Desplegable Easy Click	20
H64475160	KHAKI FIELD	Khaki Field King Day-Date	40	Automático	Acero	Verde	Acero		Desplegable Easy Click	20
H64475531	KHAKI FIELD	Khaki Field King Day-Date	40	Automático	Acero	Negro	Piel de vaca	marrón	Hebillas	20
H64475540	KHAKI FIELD	Khaki Field King Day-Date	40	Automático	Acero	Azul	Piel de vaca	marrón	Hebillas	20
H64475560	KHAKI FIELD	Khaki Field King Day-Date	40	Automático	Acero	Verde	Piel de vaca	marrón	Hebillas	20
H68551933	KHAKI FIELD	Khaki Field Quartz	40	Cuarzo	Acero	Negro	Acero		Cierre desplegable	20
H69301110	KHAKI FIELD	Khaki Field Quartz 33	33	Cuarzo	Acero	Blanco	Acero		Cierre desplegable	18
H69301130	KHAKI FIELD	Khaki Field Quartz 33	33	Cuarzo	Acero	Negro	Acero		Cierre desplegable	18
H69301131	KHAKI FIELD	Khaki Field Quartz 33	33	Cuarzo	Acero	Negro	Acero		Cierre desplegable	18
H69301140	KHAKI FIELD	Khaki Field Quartz 33	33	Cuarzo	Acero	Azul	Acero		Cierre desplegable	18
H69301160	KHAKI FIELD	Khaki Field Quartz 33	33	Cuarzo	Acero	Verde	Acero		Cierre desplegable	18
H69301430	KHAKI FIELD	Khaki Field Quartz 33	33	Cuarzo	Acero	Negro	Textil NATO	negro	Hebillas	18
H69301910	KHAKI FIELD	Khaki Field Quartz 33	33	Cuarzo	Acero	Blanco	Textil NATO	verde	Hebillas	18
H69301930	KHAKI FIELD	Khaki Field Quartz 33	33	Cuarzo	Acero	Negro	Textil NATO	verde	Hebillas	18
H69301940	KHAKI FIELD	Khaki Field Quartz 33	33	Cuarzo	Acero	Azul	Textil NATO	azul	Hebillas	18
H69301960	KHAKI FIELD	Khaki Field Quartz 33	33	Cuarzo	Acero	Verde	Textil NATO	verde caqui	Hebillas	18
H69399930	KHAKI FIELD	Khaki Field Mechanical 36	36	Mecánico	Acero	Negro	Textil NATO	caqui	Hebillas	18
H69401110	KHAKI FIELD	Khaki Field Quartz 38	38	Cuarzo	Acero	Blanco	Acero		Cierre desplegable	20
H69401130	KHAKI FIELD	Khaki Field Quartz 38	38	Cuarzo	Acero	Negro	Acero		Cierre desplegable	20
H69401131	KHAKI FIELD	Khaki Field Quartz 38	38	Cuarzo	Acero	Negro	Acero		Cierre desplegable	20
H69401140	KHAKI FIELD	Khaki Field Quartz 38	38	Cuarzo	Acero	Azul	Acero		Cierre desplegable	20
H69401160	KHAKI FIELD	Khaki Field Quartz 38	38	Cuarzo	Acero	Verde	Acero		Cierre desplegable	20
H69401430	KHAKI FIELD	Khaki Field Quartz 38	38	Cuarzo	Acero	Negro	Textil NATO		Hebillas	20
H69401910	KHAKI FIELD	Khaki Field Quartz 38	38	Cuarzo	Acero	Blanco	Textil NATO		Hebillas	20
H69401930	KHAKI FIELD	Khaki Field Quartz 38	38	Cuarzo	Acero	Negro	Textil NATO		Hebillas	20
H69401940	KHAKI FIELD	Khaki Field Quartz 38	38	Cuarzo	Acero	Azul	Textil NATO	azul	Hebillas	20
H69401960	KHAKI FIELD	Khaki Field Quartz 38	38	Cuarzo	Acero	Verde	Textil NATO	verde caqui	Hebillas	20
H69409930	KHAKI FIELD	Khaki Field Mechanical	38	Mecánico	Acero PVD negro	Negro	Textil NATO		Hebillas	20
H69439131	KHAKI FIELD	Khaki Field Mechanical 38	38	Mecánico	Acero	Negro	Acero		Cierre desplegable	20
H69439363	KHAKI FIELD	Khaki Field Mechanical	38	Mecánico	Acero	Verde	Canvas		Hebillas	20
H69439411	KHAKI FIELD	Khaki Field Mechanical 38	38	Mecánico	Acero	Blanco	Textil NATO		Hebillas	20
H69439511	KHAKI FIELD	Khaki Field Mechanical	38	Mecánico	Acero	Blanco	Piel de vaca		Hebillas	20
H69439531	KHAKI FIELD	Khaki Field Mechanical	38	Mecánico	Acero	Negro	Piel de vaca		Hebillas	20
H69439910	KHAKI FIELD	Khaki Field Mechanical	38	Mecánico	Acero	Blanco	Textil NATO		Hebillas	20
H69439931	KHAKI FIELD	Khaki Field Mechanical 38	38	Mecánico	Acero	Negro	Textil NATO	verde	Hebillas	20
H69439933	KHAKI FIELD	Khaki Field Mechanical	38	Mecánico	Acero	Negro	Canvas		Hebillas	20
H69439940	KHAKI FIELD	Khaki Field Mechanical	38	Mecánico	Acero	Azul	Textil NATO		Hebillas	20
H69449961	KHAKI FIELD	Khaki Field Mechanical	38	Mecánico	Acero	Verde	Textil NATO		Hebillas	20
H69459510	KHAKI FIELD	Khaki Field Mechanical Bronze	38	Mecánico	Bronce y Titanio	Blanco	Piel de becerro		Hebillas	20
H69459530	KHAKI FIELD	Khaki Field Mechanical Bronze	38	Mecánico	Bronce y Titanio	Negro	Piel NATO	marrón	Hebillas	20
H69509110	KHAKI FIELD	Khaki Field Power Reserve	40	Mecánico	Acero	Blanco	Acero		Cierre desplegable	20
H69509130	KHAKI FIELD	Khaki Field Power Reserve	40	Mecánico	Acero	Negro	Acero		Cierre desplegable	20
H69509140	KHAKI FIELD	Khaki Field Power Reserve	40	Mecánico	Acero	Azul	Acero		Cierre desplegable	20
H69509910	KHAKI FIELD	Khaki Field Power Reserve	40	Mecánico	Acero	Blanco	Textil NATO	verde caqui	Hebillas	20
H69509930	KHAKI FIELD	Khaki Field Power Reserve	40	Mecánico	Acero	Negro	Textil NATO	verde caqui	Hebillas	20
H69509940	KHAKI FIELD	Khaki Field Power Reserve	40	Mecánico	Acero	Azul	Textil NATO		Hebillas	20
H69529913	KHAKI FIELD	Khaki Field Mechanical 42	42	Mecánico	Acero	Blanco	Textil NATO		Hebillas	22
H69529933	KHAKI FIELD	Khaki Field Mechanical 42	42	Mecánico	Acero	Negro	Textil NATO		Hebillas	22
